NEGATIVE #	SUBJECT	LOCATION	COUNTY	STATE	COUNTRY	MONTH	DAY	YEAR	PHOTOGRAPHER	GLASS PLATE	CELLULOID	SAFETY FILM	SIZE	BLACK & WHITE	COLOR	4X5 COPY NEGATIVE	35MM SLIDE	PRINT ON FILE	COMMENTS1	COMMENTS2	PUBLISHED
1	Agate Spring Quarries. Panoramic view. University Hill on right.	Agate Springs	Sioux	Nebraska	USA			1906	O A Peterson	Y			5x7	Y		Y		Y	Counterpart of the panoramic view of the Agate Spring fossil quarries, looking east and northeast. See also #2.		
2	Agate Spring Quarries. Panoramic view. Carnegie Hill in center.	Agate Springs	Sioux	Nebraska	USA			1906	O A Peterson	Y			5x7	Y		Y		Y	Looking eastward and northeastward. See also #1.		
3	Agate Springs Quarries. Hauling large slab from fossil quarries to Harrison, Nebraska.	Agate Springs	Sioux	Nebraska	USA			1908		Y			5x7	Y		Y		Y			
4	Agate Spring Quarries. Fitting a frame over a block containing a Stenomylus skeleton.	Agate Springs	Sioux	Nebraska	USA			1907	O A Peterson	Y			5x7	Y		Y	Y	Y			
5	Agate Spring quarries. Stenomylus quarry. Moving dirt from quarry; boxes in foreground are on the lower bone layer.	Agate Springs	Sioux	Nebraska	USA			1907	O A Peterson	Y			5x7	Y		Y		Y			
6	Agate Spring quarries. Activity in Stenomylus quarry.	Agate Springs	Sioux	Nebraska	USA			1909	O A Peterson	Y			5x7	Y		Y		Y			
7	Agate Spring quarries. Excavating in the Stenomylus quarry. Loading the first charge of Giant powder.	Agate Springs	Sioux	Nebraska	USA	7	1	1909	O A Peterson	Y			5x7	Y		Y		Y			
8	Agate Spring quarries. Excavation in progress at Stenomylus quarry.	Agate Springs	Sioux	Nebraska	USA			1909	O A Peterson	Y			5x7	Y		Y		Y			
9	Agate Spring quarries. 'Stenomylus  Sandstone', an exposure not far from the Stenomylus quarry and in the same horizon.	Agate Springs	Sioux	Nebraska	USA			1907	O A Peterson	Y			5x7	Y				Y			
10	Agate Spring quarries. Near the Stenomylus quarry. A dike in the Lower Harrison beds ¼ mile below the Stenomylus quarry.	Agate Springs	Sioux	Nebraska	USA			1907	O A Peterson	Y			5x7	Y				Y			
